"Nombre_Partida","Nombre_Programa","String_name","partida","capitulo","codigo_programa_presupuestario","area","subtitulo","item","asignacion"
"MINISTERIO DE ECONOMÍA","SUBSECRETARÍA DE ECONOMÍA Y EMPRESAS DE MENOR TAMAÑO","GASTO CORRIENTE",7,1,1,"NA","NA","NA","NA"
"MINISTERIO DE ECONOMÍA","SUBSECRETARÍA DE ECONOMÍA Y EMPRESAS DE MENOR TAMAÑO","Instituto Pesquero",7,1,1,"NA",24,1,9
"MINISTERIO DE ECONOMÍA","SUBSECRETARIA DE PESCA","Convención Interamericana Protección y Conservación de las Tortugas Marinas (CIT)",7,3,1,"NA",24,7,5
"MINISTERIO DE ECONOMÍA","SUBSECRETARIA DE PESCA","Organización Regional de Ordenamiento Pesquero del Pacífico Sur (OROP-PS)",7,3,1,"NA",24,7,2
"MINISTERIO DE ECONOMÍA","SUBSECRETARIA DE PESCA","Acuerdo para la Conservación de Albatros y Petreles (ACAP)",7,3,1,"NA",24,7,3
"MINISTERIO DE ECONOMÍA","SUBSECRETARIA DE PESCA","Comisión para la Conservación de Recursos Vivos Marinos Antárticos",7,3,1,"NA",24,7,4
"MINISTERIO DE ECONOMÍA","SUBSECRETARIA DE PESCA","Fondo de Administración pesquero",7,3,1,"NA",24,2,11
"MINISTERIO DE ECONOMÍA","SUBSECRETARIA DE PESCA","GASTO CORRIENTE",7,3,1,"NA","NA","NA","NA"
"MINISTERIO DE ECONOMÍA","SUBSECRETARIA DE PESCA","Fondo de Investigación Pesquera",7,3,1,"NA",24,3,54
"MINISTERIO DE ECONOMÍA FOMENTO Y TURISMO","SUBSECRETARIA DE PESCA","Fondo de Investigación Pesquera",7,3,1,"NA",24,9,54
"MINISTERIO DE ECONOMÍA","SUBSECRETARIA DE PESCA","Comités Científicos Técnicos",7,3,1,1,24,3,501
